,time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m
0,2016-02-01 10:00:00,10.25,76.25,0,0 days,0.0,2016-02-01 10:00:00,2.5756226,0.544693,288.1289,306.0338
1,2016-02-01 10:00:00,10.25,76.5,0,0 days,0.0,2016-02-01 10:00:00,-0.5757446,-0.091049194,285.65625,308.33264
2,2016-02-01 10:00:00,10.0,76.25,0,0 days,0.0,2016-02-01 10:00:00,4.7562866,3.359146,294.86328,301.735
3,2016-02-01 10:00:00,10.0,76.5,0,0 days,0.0,2016-02-01 10:00:00,2.8461304,1.8698883,292.37305,305.9889
4,2016-02-01 10:00:00,9.75,76.25,0,0 days,0.0,2016-02-01 10:00:00,4.400818,2.2761383,295.35352,300.96545
